sample_id,image_path,scene_id,utterance_idx,text,label_text,label_id,split,num_faces,face_paths,face_prob_negative,face_prob_neutral,face_prob_positive,face_detected_flag,num_faces_norm,image_prob_negative,image_prob_neutral,image_prob_positive
train-u0000020,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\20.jpg,train-4,20,"oh, well, that never works.",negative,0,test,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000020__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000020__face1.jpg']",0.37557056499999997,0.341101435,0.2833279,1,0.4,0.3517336,0.31029138,0.33797503
train-u0000021,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\21.jpg,train-4,21,What I was going to say..,negative,0,test,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000021__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000021__face1.jpg']",0.289826975,0.34023188,0.369941185,1,0.4,0.33035636,0.32065877,0.3489848
train-u0000022,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\22.jpg,train-5,22,They're my whole world. I have nothing else.,neutral,1,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000022__face0.jpg'],0.29685116,0.28196043,0.42118838,1,0.2,0.26791748,0.39595288,0.33612964
train-u0000023,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\23.jpg,train-5,23,You have nothing else?,neutral,1,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000023__face0.jpg'],0.27526504,0.3654007,0.35933417,1,0.2,0.301191,0.3827363,0.31607273
train-u0000024,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\24.jpg,train-5,24,That's a bad position to make a deal from.,neutral,1,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000024__face0.jpg'],0.2594998,0.38162607,0.35887417,1,0.2,0.3031835,0.38297823,0.31383824
train-u0000025,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\25.jpg,train-5,25,Sorry.,neutral,1,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000025__face0.jpg'],0.2594922,0.33928624,0.4012215,1,0.2,0.30222383,0.3831358,0.31464034
train-u0000026,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\26.jpg,train-5,26,"Hey, you remember that deal I wanted to make with you?",negative,0,test,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000026__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000026__face1.jpg']",0.334221465,0.32587928,0.33989923,1,0.4,0.3391186,0.3412994,0.31958196
train-u0000027,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\27.jpg,train-6,27,But at least he's honest about it.,positive,2,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000027__face0.jpg'],0.30300996,0.38611725,0.3108728,1,0.2,0.30620387,0.3350701,0.358726
train-u0000028,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\28.jpg,train-6,28,No. I wound up taking a different angle on the investigation.,negative,0,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000028__face0.jpg'],0.23373027,0.31497127,0.45129848,1,0.2,0.32043287,0.3280635,0.3515036
train-u0000029,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\29.jpg,train-6,29,"Actually, you were the reason for that.",neutral,1,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000029__face0.jpg'],0.2603105,0.30387133,0.4358181,1,0.2,0.3240605,0.3213012,0.35463837
train-u0000030,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\30.jpg,train-6,30,Me? What do you mean?,neutral,1,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000030__face0.jpg'],0.3274515,0.3603,0.31224844,1,0.2,0.27837592,0.37479374,0.34683028
train-u0000031,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\31.jpg,train-6,31,Do you remember when we were talking about this guy?,negative,0,test,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000031__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000031__face1.jpg']",0.29094778,0.344402675,0.364649595,1,0.4,0.31482372,0.33295253,0.35222375
train-u0000032,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\32.jpg,train-7,32,Yep.,negative,0,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000032__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000032__face1.jpg']",0.29824560499999997,0.316008125,0.38574622000000003,1,0.4,0.3109436,0.346574,0.34248245
train-u0000033,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\33.jpg,train-7,33,That's the sauce my mother uses.,negative,0,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000033__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000033__face1.jpg']",0.301913545,0.387934435,0.31015206,1,0.4,0.30335352,0.3516324,0.3450141
train-u0000034,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\34.jpg,train-7,34,"She likes cooking Italian because according to her,",positive,2,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000034__face0.jpg'],0.32068312,0.3897172,0.2895997,1,0.2,0.3245499,0.34742105,0.32802898
train-u0000035,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\35.jpg,train-7,35,Interesting.,negative,0,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000035__face0.jpg'],0.25348726,0.48380333,0.26270944,1,0.2,0.3168237,0.3311461,0.35203025
train-u0000036,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\36.jpg,train-7,36,I'll have to have you over for spaghetti some night.,negative,0,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000036__face0.jpg'],0.30781314,0.44005206,0.25213474,1,0.2,0.3084975,0.34084037,0.3506621
train-u0000037,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\37.jpg,train-7,37,I'm hungry now.,neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000037__face0.jpg'],0.28134015,0.41594675,0.30271307,1,0.2,0.32311162,0.36094415,0.3159442
train-u0000038,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\38.jpg,train-7,38,"Oh. Um, okay.",negative,0,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000038__face0.jpg'],0.21502292,0.4320514,0.3529257,1,0.2,0.31329972,0.34117052,0.34552976
train-u0000039,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\39.jpg,train-7,39,Why don't you give me an hour and come over?,negative,0,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000039__face0.jpg'],0.25013041,0.5010236,0.24884598,1,0.2,0.3079026,0.34575298,0.3463444
train-u0000040,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\40.jpg,train-7,40,Will you cut up hot dogs into little chunks and mix them in with the sauce?,negative,0,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000040__face0.jpg'],0.29096696,0.34322837,0.36580464,1,0.2,0.3187829,0.36295542,0.31826177
train-u0000041,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\41.jpg,train-7,41,I don't have hot dogs.,neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000041__face0.jpg'],0.22492078,0.48690543,0.28817382,1,0.2,0.30423105,0.3434199,0.35234907
train-u0000042,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\42.jpg,train-7,42,"Oh, it's all right; I do.",positive,2,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000042__face0.jpg'],0.29803488,0.3548081,0.347157,1,0.2,0.31870234,0.3536297,0.32766798
train-u0000043,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\43.jpg,train-8,43,"Hey, where you been?",negative,0,train,0,[],0.328871624467637,0.3912107455421912,0.2799176299901718,0,0.0,0.32166734,0.32149118,0.35684142
train-u0000044,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\44.jpg,train-8,44,I was talking with Penny.,negative,0,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000044__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000044__face1.jpg']",0.33590060499999996,0.344389585,0.31970979499999996,1,0.4,0.31449643,0.3499691,0.33553445
train-u0000045,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\45.jpg,train-8,45,What's wrong with you?,neutral,1,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000045__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000045__face1.jpg']",0.333676785,0.342156165,0.32416703,1,0.4,0.29965442,0.36035526,0.33999032
train-u0000046,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\46.jpg,train-8,46,You can't hang out with your roommate's ex.,neutral,1,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000046__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000046__face1.jpg']",0.33042815999999997,0.2998146,0.36975725,1,0.4,0.30690193,0.3504976,0.34260046
train-u0000047,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\47.jpg,train-8,47,That's totally uncool.,neutral,1,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000047__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000047__face1.jpg']",0.30315935,0.365133105,0.331707595,1,0.4,0.3189237,0.33688346,0.34419283
train-u0000048,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\48.jpg,train-8,48,"No, it's fine. I don't care.",positive,2,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000048__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000048__face1.jpg']",0.29708828499999995,0.4033477,0.299563945,1,0.4,0.3159146,0.34180653,0.34227893
train-u0000049,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\49.jpg,train-8,49,I'm over it.,positive,2,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000049__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000049__face1.jpg']",0.30269945,0.366745235,0.330555375,1,0.4,0.30857363,0.3488025,0.34262392
train-u0000050,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\50.jpg,train-8,50,"Yeah, he's over it; that's why he's been whining all day",neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000050__face0.jpg'],0.26161054,0.4115813,0.32680815,1,0.2,0.30825716,0.35302863,0.3387142
train-u0000051,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\51.jpg,train-8,51,Is he making any progress?,negative,0,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000051__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000051__face1.jpg']",0.31293703500000003,0.32976078,0.35730222,1,0.4,0.30567616,0.34379014,0.35053363
train-u0000052,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\52.jpg,train-9,52,Certainly.,negative,0,train,4,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000052__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000052__face1.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000052__face2.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000052__face3.jpg']",0.323212705,0.36459556,0.3121917,1,0.8,0.32694387,0.31838858,0.35466754
train-u0000053,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\53.jpg,train-9,53,It's not like I have to moderate my food intake,negative,0,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000053__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000053__face1.jpg']",0.26012724,0.41942676,0.320446025,1,0.4,0.3168436,0.3277114,0.355445
train-u0000054,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\54.jpg,train-9,54,"So, you guys want to do something tonight?",negative,0,train,3,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000054__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000054__face1.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000054__face2.jpg']",0.3109540333333333,0.34830696666666666,0.3407390133333334,1,0.6,0.3262622,0.32051614,0.3532217
train-u0000055,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\55.jpg,train-9,55,"Nah, I can't. I got to pick up my mom from her water aerobics class.",neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000055__face0.jpg'],0.31216946,0.3990356,0.28879493,1,0.2,0.30118114,0.36776313,0.33105567
train-u0000056,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\56.jpg,train-9,56,18 overweight women flapping their arm fat in a swimming pool.,neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000056__face0.jpg'],0.23375621,0.4485818,0.317662,1,0.2,0.3087652,0.3562775,0.33495727
train-u0000057,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\57.jpg,train-9,57,Looks like the manatee tank at Sea World.,neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000057__face0.jpg'],0.3043772,0.45013356,0.24548928,1,0.2,0.30510178,0.35870102,0.33619717
train-u0000058,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\58.jpg,train-10,58,For an hour and a half?,negative,0,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000058__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000058__face1.jpg']",0.29611197499999997,0.39915818000000003,0.304729865,1,0.4,0.34323707,0.34268564,0.31407735
train-u0000059,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\59.jpg,train-10,59,How could you get lost? Your phone has GPS.,neutral,1,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000059__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000059__face1.jpg']",0.32397951,0.37728852,0.29873194999999997,1,0.4,0.34491998,0.3179663,0.33711368
